Ensembl Gene ID	Multiple?	% Identity with respect to Human gene	Hs Gene	HS Description	First	Ensembl Gene ID
B0035.10	0	95	HIST2H3PS2	"histone cluster 2, H3, pseudogene 2 [Source:HGNC Symbol;Acc:32060]"	1	B0035.10
B0035.11	0	30	LEO1	"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30401]"	1	B0035.11
B0035.12	0	23	SART3	squamous cell carcinoma antigen recognized by T cells 3 [Source:HGNC Symbol;Acc:16860]	1	B0035.12
B0035.14	1	37	DNAJB12	"DnaJ (Hsp40) homolog, subfamily B, member 12 [Source:HGNC Symbol;Acc:14891]"	1	B0035.14
B0035.14	1	37	DNAJB14	"DnaJ (Hsp40) homolog, subfamily B, member 14 [Source:HGNC Symbol;Acc:25881]"	1	B0035.14
B0035.14	1	34	DNAJC18	"DnaJ (Hsp40) homolog, subfamily C, member 18 [Source:HGNC Symbol;Acc:28429]"	1	B0035.14
B0035.16	0	38	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase [Source:HGNC Symbol;Acc:25481]	1	B0035.16
B0035.2	1	36	DNAJC25	"DnaJ (Hsp40) homolog, subfamily C , member 25 [Source:HGNC Symbol;Acc:34187]"	1	B0035.2
B0035.2	1	29	DNAJC25-GNG10	DNAJC25-GNG10 readthrough [Source:HGNC Symbol;Acc:37501]	1	B0035.2
B0035.3	1	12	GDAP2	ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:18010]	1	B0035.3
B0035.3	1	26	MACROD1	MACRO domain containing 1 [Source:HGNC Symbol;Acc:29598]	1	B0035.3
B0035.3	1	20	MACROD2	MACRO domain containing 2 [Source:HGNC Symbol;Acc:16126]	1	B0035.3
B0035.4	0	33	PFDN4	prefoldin subunit 4 [Source:HGNC Symbol;Acc:8868]	1	B0035.4
B0035.5	1	55	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:4057]	1	B0035.5
B0035.5	1	20	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:4795]	1	B0035.5
B0035.7	0	76	H2AFX	"H2A histone family, member X [Source:HGNC Symbol;Acc:4739]"	1	B0035.7
B0035.8	1	78	HIST1H2BJ	"histone cluster 1, H2bj [Source:HGNC Symbol;Acc:4761]"	1	B0035.8
B0035.8	1	79	HIST2H2BE	"histone cluster 2, H2be [Source:HGNC Symbol;Acc:4760]"	1	B0035.8
B0035.8	1	79	HIST3H2BB	"histone cluster 3, H2bb [Source:HGNC Symbol;Acc:20514]"	1	B0035.8
B0035.9	1	99	HIST1H4C	"histone cluster 1, H4c [Source:HGNC Symbol;Acc:4787]"	1	B0035.9
B0035.9	1	84	HIST1H4G	"histone cluster 1, H4g [Source:HGNC Symbol;Acc:4792]"	1	B0035.9
B0041.4	0	46	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:10353]	1	B0041.4
B0041.5	0	25	SLC35F5	"solute carrier family 35, member F5 [Source:HGNC Symbol;Acc:23617]"	1	B0041.5
B0041.6	0	50	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:9689]	1	B0041.6
B0041.7	0	18	ATRX	alpha thalassemia/mental retardation syndrome X-linked [Source:HGNC Symbol;Acc:886]	1	B0041.7
B0205.3	0	46	PSMD4	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:HGNC Symbol;Acc:9561]"	1	B0205.3
B0205.4	1	20	FUT1	"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group) [Source:HGNC Symbol;Acc:4012]"	1	B0205.4
B0205.4	1	22	FUT2	fucosyltransferase 2 (secretor status included) [Source:HGNC Symbol;Acc:4013]	1	B0205.4
B0205.6	0	62	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:15910]	1	B0205.6
B0205.7	1	71	CSNK2A1	"casein kinase 2, alpha 1 polypeptide [Source:HGNC Symbol;Acc:2457]"	1	B0205.7
B0205.7	1	75	CSNK2A2	"casein kinase 2, alpha prime polypeptide [Source:HGNC Symbol;Acc:2459]"	1	B0205.7
B0207.1	1	16	PTPN1	"protein tyrosine phosphatase, non-receptor type 1 [Source:HGNC Symbol;Acc:9642]"	1	B0207.1
B0207.1	1	17	PTPN2	"protein tyrosine phosphatase, non-receptor type 2 [Source:HGNC Symbol;Acc:9650]"	1	B0207.1
B0207.1	1	14	PTPN9	"protein tyrosine phosphatase, non-receptor type 9 [Source:HGNC Symbol;Acc:9661]"	1	B0207.1
B0207.6	0	36	GPN2	GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:25513]	1	B0207.6
B0212.4	1	18	SLC35A4	"solute carrier family 35, member A4 [Source:HGNC Symbol;Acc:20753]"	1	B0212.4
B0212.4	1	15	SLC35A5	"solute carrier family 35, member A5 [Source:HGNC Symbol;Acc:20792]"	1	B0212.4
B0212.5	1	17	TRPV1	"transient receptor potential cation channel, subfamily V, member 1 [Source:HGNC Symbol;Acc:12716]"	1	B0212.5
B0212.5	1	18	TRPV2	"transient receptor potential cation channel, subfamily V, member 2 [Source:HGNC Symbol;Acc:18082]"	1	B0212.5
B0212.5	1	18	TRPV3	"transient receptor potential cation channel, subfamily V, member 3 [Source:HGNC Symbol;Acc:18084]"	1	B0212.5
B0212.5	1	16	TRPV4	"transient receptor potential cation channel, subfamily V, member 4 [Source:HGNC Symbol;Acc:18083]"	1	B0212.5
B0212.5	1	19	TRPV5	"transient receptor potential cation channel, subfamily V, member 5 [Source:HGNC Symbol;Acc:3145]"	1	B0212.5
B0212.5	1	19	TRPV6	"transient receptor potential cation channel, subfamily V, member 6 [Source:HGNC Symbol;Acc:14006]"	1	B0212.5
B0218.1	0	36	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:3553]	1	B0218.1
B0218.3	1	61	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:6873]	1	B0218.3
B0218.3	1	62	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:6876]	1	B0218.3
B0222.2	1	29	SLC20A1	"solute carrier family 20 (phosphate transporter), member 1 [Source:HGNC Symbol;Acc:10946]"	1	B0222.2
B0222.2	1	29	SLC20A2	"solute carrier family 20 (phosphate transporter), member 2 [Source:HGNC Symbol;Acc:10947]"	1	B0222.2
B0222.3	1	32	SLC20A1	"solute carrier family 20 (phosphate transporter), member 1 [Source:HGNC Symbol;Acc:10946]"	1	B0222.3
B0222.3	1	31	SLC20A2	"solute carrier family 20 (phosphate transporter), member 2 [Source:HGNC Symbol;Acc:10947]"	1	B0222.3
B0222.4	0	36	SGPL1	sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:10817]	1	B0222.4
B0228.7	0	48	MTAP	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:7413]	1	B0228.7
B0238.10	0	29	NAA30	"N(alpha)-acetyltransferase 30, NatC catalytic subunit [Source:HGNC Symbol;Acc:19844]"	1	B0238.10
B0238.9	0	18	HECA	headcase homolog (Drosophila) [Source:HGNC Symbol;Acc:21041]	1	B0238.9
B0240.1	1	41	RHAG	Rh-associated glycoprotein [Source:HGNC Symbol;Acc:10006]	1	B0240.1
B0240.1	1	38	RHBG	"Rh family, B glycoprotein (gene/pseudogene) [Source:HGNC Symbol;Acc:14572]"	1	B0240.1
B0240.1	1	25	RHCE	"Rh blood group, CcEe antigens [Source:HGNC Symbol;Acc:10008]"	1	B0240.1
B0240.1	1	34	RHCG	"Rh family, C glycoprotein [Source:HGNC Symbol;Acc:18140]"	1	B0240.1
B0240.1	1	20	RHD	"Rh blood group, D antigen [Source:HGNC Symbol;Acc:10009]"	1	B0240.1
B0240.2	1	12	DCST1	DC-STAMP domain containing 1 [Source:HGNC Symbol;Acc:26539]	1	B0240.2
B0240.2	1	15	DCST2	DC-STAMP domain containing 2 [Source:HGNC Symbol;Acc:26562]	1	B0240.2
B0240.2	1	12	TM7SF4	transmembrane 7 superfamily member 4 [Source:HGNC Symbol;Acc:18549]	1	B0240.2
B0240.4	0	18	TMEM48	transmembrane protein 48 [Source:HGNC Symbol;Acc:25525]	1	B0240.4
B0244.2	1	22	PTPRN	"protein tyrosine phosphatase, receptor type, N [Source:HGNC Symbol;Acc:9676]"	1	B0244.2
B0244.2	1	21	PTPRN2	"protein tyrosine phosphatase, receptor type, N polypeptide 2 [Source:HGNC Symbol;Acc:9677]"	1	B0244.2
B0244.8	0	1	SORL1	"sortilin-related receptor, L(DLR class) A repeats containing [Source:HGNC Symbol;Acc:11185]"	1	B0244.8
B0250.1	0	72	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:10368]	1	B0250.1
B0250.5	1	13	GLYR1	glyoxylate reductase 1 homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24434]	1	B0250.5
B0250.5	1	48	HIBADH	3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:4907]	1	B0250.5
B0252.2	0	28	SMPD1	"sphingomyelin phosphodiesterase 1, acid lysosomal [Source:HGNC Symbol;Acc:11120]"	1	B0252.2
B0252.4	0	52	PPIL3	peptidylprolyl isomerase (cyclophilin)-like 3 [Source:HGNC Symbol;Acc:9262]	1	B0252.4
B0261.1	0	6	BDP1	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:13652]"	1	B0261.1
B0261.4	0	28	MRPL47	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:16652]	1	B0261.4
B0272.1	1	93	TUBB	"tubulin, beta class I [Source:HGNC Symbol;Acc:20778]"	1	B0272.1
B0272.1	1	93	TUBB2A	"tubulin, beta 2A class IIa [Source:HGNC Symbol;Acc:12412]"	1	B0272.1
B0272.1	1	93	TUBB2B	"tubulin, beta 2B class IIb [Source:HGNC Symbol;Acc:30829]"	1	B0272.1
B0272.1	1	93	TUBB4A	"tubulin, beta 4A class IVa [Source:HGNC Symbol;Acc:20774]"	1	B0272.1
B0272.1	1	93	TUBB4B	"tubulin, beta 4B class IVb [Source:HGNC Symbol;Acc:20771]"	1	B0272.1
B0272.2	0	28	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:4431]	1	B0272.2
B0272.3	0	50	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:4799]	1	B0272.3
B0272.4	1	13	CDY1	"chromodomain protein, Y-linked, 1 [Source:HGNC Symbol;Acc:1809]"	1	B0272.4
B0272.4	1	13	CDY1B	"chromodomain protein, Y-linked, 1B [Source:HGNC Symbol;Acc:23920]"	1	B0272.4
B0272.4	1	13	CDY2A	"chromodomain protein, Y-linked, 2A [Source:HGNC Symbol;Acc:1810]"	1	B0272.4
B0272.4	1	13	CDY2B	"chromodomain protein, Y-linked, 2B [Source:HGNC Symbol;Acc:23921]"	1	B0272.4
B0272.4	1	11	CDYL	"chromodomain protein, Y-like [Source:HGNC Symbol;Acc:1811]"	1	B0272.4
B0272.4	1	14	CDYL2	"chromodomain protein, Y-like 2 [Source:HGNC Symbol;Acc:23030]"	1	B0272.4
B0272.4	1	25	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:14601]	1	B0272.4
B0273.3	0	22	SNAPC3	"small nuclear RNA activating complex, polypeptide 3, 50kDa [Source:HGNC Symbol;Acc:11136]"	1	B0273.3
B0273.4	1	26	UNC5A	unc-5 homolog A (C. elegans) [Source:HGNC Symbol;Acc:12567]	1	B0273.4
B0273.4	1	26	UNC5B	unc-5 homolog B (C. elegans) [Source:HGNC Symbol;Acc:12568]	1	B0273.4
B0273.4	1	27	UNC5C	unc-5 homolog C (C. elegans) [Source:HGNC Symbol;Acc:12569]	1	B0273.4
B0273.4	1	24	UNC5D	unc-5 homolog D (C. elegans) [Source:HGNC Symbol;Acc:18634]	1	B0273.4
B0280.1	0	53	RABGGTB	"Rab geranylgeranyltransferase, beta subunit [Source:HGNC Symbol;Acc:9796]"	1	B0280.1
B0280.12	1	34	GRIA1	"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]"	1	B0280.12
B0280.12	1	34	GRIA2	"glutamate receptor, ionotropic, AMPA 2 [Source:HGNC Symbol;Acc:4572]"	1	B0280.12
B0280.12	1	34	GRIA3	"glutamate receptor, ionotrophic, AMPA 3 [Source:HGNC Symbol;Acc:4573]"	1	B0280.12
B0280.12	1	20	GRIA4	"glutamate receptor, ionotrophic, AMPA 4 [Source:HGNC Symbol;Acc:4574]"	1	B0280.12
B0280.12	1	25	GRIK4	"glutamate receptor, ionotropic, kainate 4 [Source:HGNC Symbol;Acc:4582]"	1	B0280.12
B0280.12	1	24	GRIK5	"glutamate receptor, ionotropic, kainate 5 [Source:HGNC Symbol;Acc:4583]"	1	B0280.12
B0280.13	1	13	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia) [Source:HGNC Symbol;Acc:12731]	1	B0280.13
B0280.13	1	14	WASL	Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:12735]	1	B0280.13
B0280.17	1	12	KHDRBS1	"KH domain containing, RNA binding, signal transduction associated 1 [Source:HGNC Symbol;Acc:18116]"	1	B0280.17
B0280.17	1	16	KHDRBS2	"KH domain containing, RNA binding, signal transduction associated 2 [Source:HGNC Symbol;Acc:18114]"	1	B0280.17
B0280.17	1	16	KHDRBS3	"KH domain containing, RNA binding, signal transduction associated 3 [Source:HGNC Symbol;Acc:18117]"	1	B0280.17
B0280.2	1	9	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia) [Source:HGNC Symbol;Acc:12731]	1	B0280.2
B0280.2	1	10	WASL	Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:12735]	1	B0280.2
B0280.3	0	36	RPIA	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:10297]	1	B0280.3
B0280.4	1	31	OSR1	odd-skipped related 1 (Drosophila) [Source:HGNC Symbol;Acc:8111]	1	B0280.4
B0280.4	1	26	OSR2	odd-skipped related 2 (Drosophila) [Source:HGNC Symbol;Acc:15830]	1	B0280.4
B0280.4	1	10	ZNF554	zinc finger protein 554 [Source:HGNC Symbol;Acc:26629]	1	B0280.4
B0280.9	0	21	UTP18	UTP18 small subunit (SSU) processome component homolog (yeast) [Source:HGNC Symbol;Acc:24274]	1	B0280.9
B0281.5	1	17	KCTD10	potassium channel tetramerisation domain containing 10 [Source:HGNC Symbol;Acc:23236]	1	B0281.5
B0281.5	1	16	KCTD13	potassium channel tetramerisation domain containing 13 [Source:HGNC Symbol;Acc:22234]	1	B0281.5
B0281.5	1	16	TNFAIP1	"tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:HGNC Symbol;Acc:11894]"	1	B0281.5
B0281.6	1	19	KCTD10	potassium channel tetramerisation domain containing 10 [Source:HGNC Symbol;Acc:23236]	1	B0281.6
B0281.6	1	16	KCTD13	potassium channel tetramerisation domain containing 13 [Source:HGNC Symbol;Acc:22234]	1	B0281.6
B0281.6	1	17	TNFAIP1	"tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:HGNC Symbol;Acc:11894]"	1	B0281.6
B0285.1	1	19	CDK12	cyclin-dependent kinase 12 [Source:HGNC Symbol;Acc:24224]	1	B0285.1
B0285.1	1	18	CDK13	cyclin-dependent kinase 13 [Source:HGNC Symbol;Acc:1733]	1	B0285.1
B0285.10	1	19	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:1937]	1	B0285.10
B0285.10	1	22	CHKB	choline kinase beta [Source:HGNC Symbol;Acc:1938]	1	B0285.10
B0285.10	1	17	CHKB-CPT1B	CHKB-CPT1B readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41998]	1	B0285.10
B0285.4	1	37	LCMT1	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:17557]	1	B0285.4
B0285.4	1	14	LCMT2	leucine carboxyl methyltransferase 2 [Source:HGNC Symbol;Acc:17558]	1	B0285.4
B0285.5	0	35	GLCE	glucuronic acid epimerase [Source:HGNC Symbol;Acc:17855]	1	B0285.5
B0285.6	1	29	SLC13A1	"solute carrier family 13 (sodium/sulfate symporters), member 1 [Source:HGNC Symbol;Acc:10916]"	1	B0285.6
B0285.6	1	32	SLC13A2	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]"	1	B0285.6
B0285.6	1	30	SLC13A3	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:14430]"	1	B0285.6
B0285.6	1	26	SLC13A4	"solute carrier family 13 (sodium/sulfate symporters), member 4 [Source:HGNC Symbol;Acc:15827]"	1	B0285.6
B0285.6	1	31	SLC13A5	"solute carrier family 13 (sodium-dependent citrate transporter), member 5 [Source:HGNC Symbol;Acc:23089]"	1	B0285.6
B0285.8	1	22	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:1937]	1	B0285.8
B0285.8	1	24	CHKB	choline kinase beta [Source:HGNC Symbol;Acc:1938]	1	B0285.8
B0285.8	1	18	CHKB-CPT1B	CHKB-CPT1B readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41998]	1	B0285.8
B0285.9	1	20	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:1937]	1	B0285.9
B0285.9	1	22	CHKB	choline kinase beta [Source:HGNC Symbol;Acc:1938]	1	B0285.9
B0285.9	1	18	CHKB-CPT1B	CHKB-CPT1B readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41998]	1	B0285.9
B0286.2	1	6	GPR112	G protein-coupled receptor 112 [Source:HGNC Symbol;Acc:18992]	1	B0286.2
B0286.2	1	21	GPR114	G protein-coupled receptor 114 [Source:HGNC Symbol;Acc:19010]	1	B0286.2
B0286.2	1	13	GPR126	G protein-coupled receptor 126 [Source:HGNC Symbol;Acc:13841]	1	B0286.2
B0286.2	1	16	GPR56	G protein-coupled receptor 56 [Source:HGNC Symbol;Acc:4512]	1	B0286.2
B0286.2	1	17	GPR64	G protein-coupled receptor 64 [Source:HGNC Symbol;Acc:4516]	1	B0286.2
B0286.2	1	18	GPR97	G protein-coupled receptor 97 [Source:HGNC Symbol;Acc:13728]	1	B0286.2
B0286.3	0	47	PAICS	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:HGNC Symbol;Acc:8587]"	1	B0286.3
B0286.4	0	27	CNOT2	"CCR4-NOT transcription complex, subunit 2 [Source:HGNC Symbol;Acc:7878]"	1	B0286.4
B0303.11	1	19	SLC12A1	"solute carrier family 12 (sodium/potassium/chloride transporters), member 1 [Source:HGNC Symbol;Acc:10910]"	1	B0303.11
B0303.11	1	17	SLC12A2	"solute carrier family 12 (sodium/potassium/chloride transporters), member 2 [Source:HGNC Symbol;Acc:10911]"	1	B0303.11
B0303.11	1	20	SLC12A3	"solute carrier family 12 (sodium/chloride transporters), member 3 [Source:HGNC Symbol;Acc:10912]"	1	B0303.11
B0303.15	0	41	MRPL11	mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:14042]	1	B0303.15
B0303.2	1	22	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:6069]	1	B0303.2
B0303.2	1	20	INMT-FAM188B	INMT-FAM188B readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41995]	1	B0303.2
B0303.2	1	24	NNMT	nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:7861]	1	B0303.2
B0303.2	1	22	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:9160]	1	B0303.2
B0303.3	0	57	HADHB	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit [Source:HGNC Symbol;Acc:4803]"	1	B0303.3
B0303.4	1	29	TMUB1	transmembrane and ubiquitin-like domain containing 1 [Source:HGNC Symbol;Acc:21709]	1	B0303.4
B0303.4	1	24	TMUB2	transmembrane and ubiquitin-like domain containing 2 [Source:HGNC Symbol;Acc:28459]	1	B0303.4
B0303.7	0	8	SH3D19	SH3 domain containing 19 [Source:HGNC Symbol;Acc:30418]	1	B0303.7
B0303.9	1	25	RP11-512M8.5.1	0	1	B0303.9
B0303.9	1	25	VPS33A	vacuolar protein sorting 33 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:18179]	1	B0303.9
B0304.1	1	27	MYF5	myogenic factor 5 [Source:HGNC Symbol;Acc:7565]	1	B0304.1
B0304.1	1	28	MYF6	myogenic factor 6 (herculin) [Source:HGNC Symbol;Acc:7566]	1	B0304.1
B0304.1	1	21	MYOD1	myogenic differentiation 1 [Source:HGNC Symbol;Acc:7611]	1	B0304.1
B0304.1	1	31	MYOG	myogenin (myogenic factor 4) [Source:HGNC Symbol;Acc:7612]	1	B0304.1
B0331.1	1	25	AC011537.1	"Uncharacterized proteincDNA FLJ60024, highly similar to Cytochrome P450 4F12  [Source:UniProtKB/TrEMBL;Acc:B4DNA9]"	1	B0331.1
B0331.1	1	27	CYP4F11	"cytochrome P450, family 4, subfamily F, polypeptide 11 [Source:HGNC Symbol;Acc:13265]"	1	B0331.1
B0331.1	1	27	CYP4F12	"cytochrome P450, family 4, subfamily F, polypeptide 12 [Source:HGNC Symbol;Acc:18857]"	1	B0331.1
B0331.1	1	28	CYP4F2	"cytochrome P450, family 4, subfamily F, polypeptide 2 [Source:HGNC Symbol;Acc:2645]"	1	B0331.1
B0331.1	1	26	CYP4F22	"cytochrome P450, family 4, subfamily F, polypeptide 22 [Source:HGNC Symbol;Acc:26820]"	1	B0331.1
B0331.1	1	28	CYP4F3	"cytochrome P450, family 4, subfamily F, polypeptide 3 [Source:HGNC Symbol;Acc:2646]"	1	B0331.1
B0331.1	1	27	CYP4F8	"cytochrome P450, family 4, subfamily F, polypeptide 8 [Source:HGNC Symbol;Acc:2648]"	1	B0331.1
B0334.15	1	29	MMGT1	membrane magnesium transporter 1 [Source:HGNC Symbol;Acc:28100]	1	B0334.15
B0334.3	0	47	HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:17856]	1	B0334.3
B0334.4	0	29	PRELID1	PRELI domain containing 1 [Source:HGNC Symbol;Acc:30255]	1	B0334.4
B0334.5	0	30	C8orf38	chromosome 8 open reading frame 38 [Source:HGNC Symbol;Acc:28625]	1	B0334.5
B0334.6	1	21	GPR139	G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:19995]	1	B0334.6
